Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
397,Moravian College,moravian-college-and-moravian-theological-seminary,Bethlehem, Pennsylvania,Private,Non-Profit,Small City,39000.0,64,47,40,76.0,,,24.0,2083,294,11,35,30,16,447,29.71675468074892,42024,12694,57868,25900
398,St John's University - New York,st-johns-university-new-york,Queens, New York,Private,Non-Profit,Large City,43000.0,74,44,42,67.7,,,26.0,16761,1458,17,66,54,26,2143,53.01592983712189,40197,16640,59542,25628
399,University of North Carolina School of the Arts,university-of-north-carolina-school-of-the-arts,Winston-Salem, North Carolina,Public,,Midsize City,,48,76,47,32.6,,,25.0,873,188,6,5,4,1,199,28.75143184421535,9338,8977,21934,8370
400,Pennsylvania State University - Erie - Behrend College,pennsylvania-state-university-penn-state-erie-behrend-college,Erie, Pennsylvania,Public,,Midsize Suburb,41000.0,90,80,67,88.9,,,24.0,4345,346,15,43,38,19,758,23.245109321058692,15190,11280,33098,7803
401,Ringling College of Art and Design,ringling-college-of-art-and-design,Sarasota, Florida,Private,Non-Profit,Small City,,41,68,32,63.9,,,,1456,165,11,11,6,3,237,52.47252747252747,44560,14600,65524,14123
402,Virginia Commonwealth University,virginia-commonwealth-university,Richmond, Virginia,Public,,Midsize City,38000.0,93,58,41,83.9,,,24.0,23663,2174,18,61,50,22,5312,53.42940455563539,13256,11506,30804,9187
403,Arizona State University - West,arizona-state-university-west,Glendale, Arizona,Public,,Large City,,78,81,41,79.6,,,22.0,3630,321,12,28,25,16,859,54.18732782369146,10301,11212,26042,11096
404,Rowan University,rowan-university,Glassboro, New Jersey,Public,,Large Suburb,40000.0,97,35,54,69.4,,,25.0,15401,1502,17,58,50,23,2973,34.17310564249074,13422,12236,31058,9357
405,DigiPen Institute of Technology,digipen-institute-of-technology,Redmond, Washington,Private,For-Profit,Small City,,50,48,76,53.9,,,28.0,1028,128,11,7,6,5,176,54.571984435797674,29000,11375,43485,11011
406,Texas Tech University,texas-tech-university,Lubbock, Texas,Public,,Large City,41000.0,94,88,54,69.2,,,24.0,30737,1790,20,89,76,24,5743,44.467579789829855,8860,9153,23633,6632
407,North Central College,north-central-college,Naperville, Illinois,Private,Non-Profit,Midsize City,37000.0,90,48,46,54.4,,,24.0,2769,313,14,63,50,20,842,35.464066449981935,37749,10650,51228,23128
408,Florida Institute of Technology,florida-institute-of-technology,Melbourne, Florida,Private,Non-Profit,Small City,47000.0,48,57,71,63.5,,,26.0,3635,539,15,51,39,16,772,56.91884456671252,41240,13610,59650,23760
409,Shenandoah University,shenandoah-university,Winchester, Virginia,Private,Non-Profit,Small City,,56,56,40,83.2,,,23.0,2063,458,10,43,31,21,539,42.607852641783815,31920,10180,46200,15582
410,University of Minnesota - Rochester,university-of-minnesota-rochester,Rochester, Minnesota,Public,,Midsize City,,76,95,25,51.3,,,24.0,472,37,13,1,1,1,117,30.508474576271187,13352,9388,25940,9830
411,Austin College,austin-college,Sherman, Texas,Private,Non-Profit,Small City,39000.0,92,86,49,52.2,,,26.0,1214,124,14,39,33,17,373,50.576606260296536,38800,12334,53784,29820
412,Saint Edward's University,saint-edwards-university,Austin, Texas,Private,Non-Profit,Large City,,82,42,39,84.2,,,25.0,3941,455,13,73,53,23,867,63.61329611773662,43050,11900,58450,28957
413,Central College,central-college,Pella, Iowa,Private,Non-Profit,Small Town,40000.0,65,80,50,70.1,,,24.0,1237,128,12,35,34,17,258,14.389652384801948,35930,9980,50547,26389
414,Taylor University,taylor-university,Upland, Indiana,Private,Non-Profit,Small Town,34000.0,41,69,44,86.8,,,26.0,2110,193,13,59,49,22,469,17.488151658767777,32885,9245,45330,17726
415,Eckerd College,eckerd-college,Saint Petersburg, Florida,Private,Non-Profit,Large City,37000.0,17,81,34,72.7,,,26.0,2037,186,12,49,43,19,496,23.5640648011782,43044,11706,59200,23182
416,University of North Carolina at Wilmington,university-of-north-carolina-at-wilmington,Wilmington, North Carolina,Public,,Midsize City,34000.0,85,67,38,66.5,,,25.0,14502,965,18,49,40,19,3484,22.141773548476067,7000,10490,24613,5471
417,Pacific University,pacific-university,Forest Grove, Oregon,Private,Non-Profit,Large Suburb,39000.0,42,63,40,84.5,,,24.0,1876,479,10,52,43,20,479,49.20042643923242,43556,12162,58450,26103
418,Mount Carmel College of Nursing,mount-carmel-college-of-nursing,Columbus, Ohio,Private,Non-Profit,Large City,,99,53,10,99.3,,,21.0,880,121,10,1,1,1,329,16.931818181818187,20617,6600,31957,3649
419,Canisius College,canisius-college,Buffalo, New York,Private,Non-Profit,Large City,35000.0,90,47,50,78.2,,,25.0,2398,368,11,63,49,21,784,28.31526271893245,36454,13218,52172,26244
420,Oklahoma State University - Main Campus,oklahoma-state-university-main-campus,Stillwater, Oklahoma,Public,,Small Town,40000.0,67,86,51,74.3,,,25.0,20992,1355,20,89,76,27,4525,32.459984756097555,8738,8940,23648,9874
421,Franciscan University of Steubenville,franciscan-university-of-steubenville,Steubenville, Ohio,Private,Non-Profit,Small City,,21,56,41,83.2,,,26.0,2200,220,14,36,34,21,620,21.68181818181819,26430,8400,37790,10971
