Link,Name,Rank
fairleigh-dickinson-university-college-at-florham,Fairleigh Dickinson University - Florham Campus,580
illinois-college,Illinois College,581
andrews-university,Andrews University,582
lynchburg-college,University of Lynchburg,583
wisconsin-lutheran-college,Wisconsin Lutheran College,584
clarke-university,Clarke University,585
university-of-north-florida,University of North Florida,586
montclair-state-university,Montclair State University,587
florida-southern-college,Florida Southern College,588
pennsylvania-state-university-penn-state-york,Pennsylvania State University - York,589
cleveland-institute-of-music,Cleveland Institute of Music,590
college-for-creative-studies,College for Creative Studies,591
xavier-university-of-louisiana,Xavier University of Louisiana,592
college-of-the-atlantic,College of the Atlantic,593
massachusetts-college-of-art-and-design,Massachusetts College of Art and Design,594
jacksonville-university,Jacksonville University,595
hampshire-college,Hampshire College,596
savannah-college-of-art-and-design,Savannah College of Art and Design,597
ohio-university-main-campus,Ohio University - Main Campus,598
eastern-mennonite-university,Eastern Mennonite University,599
webster-university,Webster University,600
wayne-state-university,Wayne State University,601
wittenberg-university,Wittenberg University,602
pennsylvania-state-university-penn-state-berks,Pennsylvania State University - Berks,603
queens-university-of-charlotte,Queens University of Charlotte,604
centenary-college-of-louisiana,Centenary College of Louisiana,605
ouachita-baptist-university,Ouachita Baptist University,606
norwich-university,Norwich University,607
capital-university,Capital University,608
san-francisco-conservatory-of-music,San Francisco Conservatory of Music,609
cuny-queens-college,CUNY Queens College,610
suny-college-at-brockport,The College at Brockport,611
loras-college,Loras College,612
marymount-university,Marymount University,613
carroll-university,Carroll University,614
westfield-state-university,Westfield State University,615
marywood-university,Marywood University,616
california-state-university-fullerton,California State University - Fullerton,617
cuny-hunter-college,CUNY Hunter College,618
california-college-of-the-arts,California College of the Arts,619
arcadia-university,Arcadia University,620
university-of-pittsburgh-johnstown,University of Pittsburgh - Johnstown,621
california-baptist-university,California Baptist University,622
university-of-nebraska-at-kearney,University of Nebraska at Kearney,623
daemen-college,Daemen College,624
augusta-university,Augusta University,625
university-of-mary,University of Mary,626
hartwick-college,Hartwick College,627
central-michigan-university,Central Michigan University,628
mercyhurst-college,Mercyhurst University,629
long-island-university-c-w-post-campus,LIU Post,630
texas-state-university-san-marcos,Texas State University,631
the-college-of-idaho,The College of Idaho,632
university-of-pittsburgh-bradford,University of Pittsburgh - Bradford,633
indiana-university-purdue-university-indianapolis,Indiana University - Purdue University - Indianapolis,634
suny-at-fredonia,SUNY Fredonia,635
ranken-technical-college,Ranken Technical College,636
southern-illinois-university-edwardsville,Southern Illinois University Edwardsville,637
california-state-university-channel-islands,California State University - Channel Islands,638
pennsylvania-state-university-penn-state-new-kensington,Pennsylvania State University - New Kensington,639
mississippi-state-university,Mississippi State University,640
university-of-massachusetts-dartmouth,University of Massachusetts - Dartmouth,641
carthage-college,Carthage College,642
northwestern-college-iowa,Northwestern College,643
bloomsburg-university-of-pennsylvania,Bloomsburg University of Pennsylvania,644
college-of-notre-dame-of-maryland,Notre Dame of Maryland University,645
pacific-union-college,Pacific Union College,646
berea-college,Berea College,647
school-of-visual-arts,School of Visual Arts,648
dunwoody-college-of-technology,Dunwoody College of Technology,649
saint-martins-university,Saint Martin's University,650
western-michigan-university,Western Michigan University,651
eastern-illinois-university,Eastern Illinois University,652
meredith-college,Meredith College,653
school-of-the-art-institute-of-chicago,School of the Art Institute of Chicago,654
university-of-mount-union,University of Mount Union,655
jefferson-college-of-health-sciences,Jefferson College of Health Sciences,656
worcester-state-university,Worcester State University,657
mount-saint-mary-college,Mount Saint Mary College,658
university-of-south-dakota,University of South Dakota,659
saint-josephs-college-new-york,St. Joseph's College - New York,660
the-sage-colleges,The Sage Colleges,661
campbell-university,Campbell University,662
bard-college-at-simons-rock,Bard College at Simon's Rock,663
marian-university-indiana,Marian University,664
pennsylvania-state-university-penn-state-beaver,Pennsylvania State University - Beaver,665
university-of-missouri-st-louis,University of Missouri - St Louis,666
cuny-city-college,CUNY City College,667
franklin-college,Franklin College,668
